Sales,COGS,Country,Date,Discount Band, Discounts,Gross Sales,Manufacturing Price,Month Name,Month Number,Product,Profit,Sale Price,Segment,Units Sold,Year
29156.16,8283,Canada,01/09/2013,High,3975.84,33132,260,September,9,Amarilla,20873.16,12,Channel Partners,2761,2013
265760,289920,Canada,01/09/2013,High,36240,302000,3,September,9,Carretera,-24160,125,Enterprise,2416,2013
31863,24700,Canada,01/09/2013,High,5187,37050,10,September,9,Paseo,7163,15,Midmarket,2470,2013
191884,161980,Canada,01/09/2013,High,26166,218050,250,September,9,VTT,29904,350,Government,623,2013
50803.2,26460,Canada,01/09/2013,Low,2116.8,52920,120,September,9,Velo,24343.2,20,Government,2646,2013
354108,320750,Canada,01/09/2013,Medium,30792,384900,5,September,9,Montana,33358,300,Small Business,1283,2013
15620.85,11745,Canada,01/09/2013,Medium,822.15,16443,10,September,9,Paseo,3875.85,7,Government,2349,2013
22484.7,17430,Canada,01/10/2013,High,3660.3,26145,260,October,10,Amarilla,5054.7,15,Midmarket,1743,2013
22484.7,17430,Canada,01/10/2013,High,3660.3,26145,10,October,10,Paseo,5054.7,15,Midmarket,1743,2013
69402,67250,Canada,01/10/2013,High,11298,80700,120,October,10,Velo,2152,300,Small Business,269,2013
69402,67250,Canada,01/10/2013,High,11298,80700,250,October,10,VTT,2152,300,Small Business,269,2013
19158.72,14255,Canada,01/10/2013,Low,798.28,19957,3,October,10,Carretera,4903.72,7,Government,2851,2013
19158.72,14255,Canada,01/10/2013,Low,798.28,19957,5,October,10,Montana,4903.72,7,Government,2851,2013
408310,319280,Canada,01/10/2013,Medium,21490,429800,260,October,10,Amarilla,89030,350,Government,1228,2013
25932.72,6897,Canada,01/10/2013,Medium,1655.28,27588,3,October,10,Carretera,19035.72,12,Channel Partners,2299,2013
25932.72,6897,Canada,01/10/2013,Medium,1655.28,27588,10,October,10,Paseo,19035.72,12,Channel Partners,2299,2013
434701,333170,Canada,01/10/2013,Medium,22879,457580,20,October,20,Paseo,101531,370,Government,2617,4026
26391,13890,Canada,01/10/2013,Medium,1389,27780,250,October,10,VTT,12501,20,Government,1389,2013
43125,41400,Canada,01/10/2013,None,0,43125,5,October,10,Montana,1725,125,Enterprise,345,2013
43125,41400,Canada,01/10/2013,None,0,43125,120,October,10,Velo,1725,125,Enterprise,345,2013
20826,15600,Canada,01/11/2013,High,2574,23400,3,November,11,Carretera,5226,15,Midmarket,1560,2013
22931.04,6666,Canada,01/11/2013,High,3732.96,26664,10,November,11,Paseo,16265.04,12,Channel Partners,2222,2013
313862.5,354480,Canada,01/11/2013,High,55387.5,369250,250,November,11,VTT,-40617.5,125,Enterprise,2954,2013
52243,29350,Canada,01/11/2013,High,6457,58700,250,November,11,VTT,22893,20,Government,2935,2013
14497.56,10460,Canada,01/11/2013,Low,146.44,14644,120,November,11,Velo,4037.56,7,Government,2092,2013
391716,351000,Canada,01/11/2013,Medium,29484,421200,10,November,11,Paseo,40716,300,Small Business,1404,2013
603750,448500,Canada,01/11/2013,None,0,603750,10,November,11,Paseo,155250,350,Government,1725,2013
215550,229920,Canada,01/12/2013,High,23950,239500,120,December,12,Velo,-14370,125,Enterprise,1916,2013
597408,462280,Canada,01/12/2013,Low,24892,622300,260,December,12,Amarilla,135128,350,Government,1778,2013
10569.12,2724,Canada,01/12/2013,Low,326.88,10896,3,December,12,Carretera,7845.12,12,Channel Partners,908,2013
10262.07,8055,Canada,01/12/2013,Medium,1014.93,11277,5,December,12,Montana,2207.07,7,Government,1611,2013
34238,18020,Canada,01/12/2013,Medium,1802,36040,10,December,12,Paseo,16218,20,Government,1802,2013
686952,609000,Canada,01/12/2013,Medium,43848,730800,250,December,12,VTT,77952,300,Small Business,2436,2013
32280,21520,Canada,01/12/2013,None,0,32280,10,December,12,Paseo,10760,15,Midmarket,2152,2013
180416.25,199080,Canada,01/01/2014,High,26958.75,207375,260,January,1,Amarilla,-18663.75,125,Enterprise,1659,2014
670477.5,579150,Canada,01/01/2014,High,109147.5,779625,5,January,1,Montana,91327.5,350,Government,2227.5,2014
233091,218250,Canada,01/01/2014,High,28809,261900,10,January,1,Paseo,14841,300,Small Business,873,2014
5126.4,3840,Canada,01/01/2014,High,633.6,5760,120,January,1,Velo,1286.4,15,Midmarket,384,2014
28566.72,21255,Canada,01/01/2014,Low,1190.28,29757,10,January,1,Paseo,7311.72,7,Government,4251,2014
36208.62,9733.5,Canada,01/01/2014,Medium,2725.38,38934,250,January,1,VTT,26475.12,12,Channel Partners,3244.5,2014
32370,16185,Canada,01/01/2014,None,0,32370,3,January,1,Carretera,16185,20,Government,1618.5,2014
705600,582400,Canada,01/02/2014,High,78400,784000,260,February,2,Amarilla,123200,350,Government,2240,2014
20687.16,5811,Canada,01/02/2014,High,2556.84,23244,3,February,2,Carretera,14876.16,12,Channel Partners,1937,2014
34736.1,23630,Canada,01/02/2014,Low,708.9,35445,10,February,2,Paseo,11106.1,15,Midmarket,2363,2014
3142.72,2440,Canada,01/02/2014,Medium,273.28,3416,5,February,2,Montana,702.72,7,Government,488,2014
111860,114240,Canada,01/02/2014,Medium,7140,119000,120,February,2,Velo,-2380,125,Enterprise,952,2014
5840,2920,Canada,01/02/2014,None,0,5840,10,February,2,Paseo,2920,20,Government,292,2014
600300,500250,Canada,01/02/2014,None,0,600300,250,February,2,VTT,100050,300,Small Business,2001,2014
229104,222000,Canada,01/03/2014,High,37296,266400,260,March,3,Amarilla,7104,300,Small Business,888,2014
281053.5,239980,Canada,01/03/2014,High,41996.5,323050,3,March,3,Carretera,41073.5,350,Government,923,2014
41761.6,24280,Canada,01/03/2014,High,6798.4,48560,10,March,3,Paseo,17481.6,20,Government,2428,2014
28324.8,19670,Canada,01/03/2014,Low,1180.2,29505,5,March,3,Montana,8654.8,15,Midmarket,1967,2014
215097.5,212880,Canada,01/03/2014,Low,6652.5,221750,10,March,3,Paseo,2217.5,125,Enterprise,1774,2014
9189.18,6630,Canada,01/03/2014,Low,92.82,9282,250,March,3,VTT,2559.18,7,Government,1326,2014
6601.92,1794,Canada,01/03/2014,Medium,574.08,7176,120,March,3,Velo,4807.92,12,Channel Partners,598,2014
